2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.5409775;19.673048;-3.9596157;1.4832845;7.792632;15.936713;5.3945875;1.7485157;1.6494541;5.415209;5.353611
12.852437;18.4174;-3.9743273;1.7045408;7.5245633;16.80501;5.462285;1.788397;1.664507;5.9888825;5.445184
13.482488;16.849438;-3.9417853;1.5883347;7.3478174;17.899906;6.1613;1.7509861;1.6457592;5.4148507;4.892869
12.782478;20.328024;-3.8828402;1.545803;7.0743823;15.272649;6.299873;1.7176747;1.5852771;6.258725;5.313582
13.570131;18.056715;-3.5749402;1.5192957;7.1018453;17.44488;6.362563;1.8100523;1.4622996;5.934214;4.610062
11.840388;16.396193;-3.8074017;1.6383814;7.382448;17.724112;6.1193337;1.6639675;1.5108938;5.631742;5.337068
12.418869;18.849241;-3.8409865;1.5454413;7.6880326;16.664694;5.5682154;1.6245017;1.6362411;5.8319592;4.952976
13.144012;18.475277;-3.4161272;1.6995579;7.729851;16.221596;5.633623;1.8758147;1.4351833;5.5910063;4.524554
11.913447;17.92577;-4.089077;1.4816992;7.0474153;16.947332;5.701588;1.652021;1.6169784;6.0794196;4.660434
12.387977;19.768883;-4.144627;1.5865922;7.5812936;16.445711;5.7057323;1.9823827;1.5139894;5.876979;4.592916
12.988216;20.645515;-3.6994796;1.6926564;7.029219;15.354684;5.7722387;1.8630275;1.5985994;5.6231985;5.489173
12.653817;19.052488;-4.1419883;1.5503341;7.803843;16.019855;6.099103;1.8862238;1.6836703;5.1858935;5.164423
12.489066;17.271439;-3.851693;1.5499165;7.378758;17.012394;6.023596;1.7227497;1.5654519;6.344228;5.11348
12.877995;18.015278;-3.8828537;1.588807;7.5250034;16.914743;5.9689407;1.8497928;1.5464076;5.6664467;5.0511374
13.557593;19.620085;-3.8627436;1.6013607;7.520377;18.203182;5.998243;1.5594573;1.6443107;5.8259244;4.720662
12.077945;16.797762;-3.859598;1.4854882;8.127051;15.512519;5.576795;1.7044433;1.5615346;5.295517;4.9865265
12.134055;17.539766;-3.7369618;1.565477;8.19568;17.017975;5.5986876;1.8619138;1.6521435;5.9273095;5.0942025
12.267184;18.911747;-3.87175;1.7337692;7.4202533;14.935021;5.9960146;1.8836358;1.6177704;5.7316804;4.637879
11.969973;20.004847;-3.9331234;1.5616295;7.3903575;17.766174;6.255668;1.7674516;1.5448012;6.068313;5.093025
