1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
124.88837;59.07835;42.952442;42.61803;37.9439
123.71103;51.95557;30.912987;37.670013;37.194115
106.02182;44.10497;34.22567;34.478306;29.2372
135.97528;54.848568;0.0;0.0;47.411045
100.25993;43.304314;32.10769;32.937046;33.324043
100.38576;46.406944;31.186182;34.42128;33.0506
123.7843;48.286636;40.11051;35.264793;36.444576
117.43962;54.415627;37.205666;41.594006;42.287815
146.36034;59.901714;49.636562;40.593018;41.545307
154.15921;66.150406;46.07152;41.698956;49.49238
157.89224;75.998924;52.41591;49.86558;45.811657
175.50679;80.410065;55.765015;60.72775;0.0
164.74902;63.044052;49.050865;51.068256;40.65924
154.8473;62.275345;51.45701;49.706924;47.7632
162.82928;60.715374;41.56278;43.55758;42.210857
143.90771;54.1078;44.83423;39.505833;48.3627
0.0;103.77338;72.80066;81.56835;74.18313
181.00049;0.0;51.717335;52.663776;47.669083
163.03203;73.10905;50.40318;47.49729;47.634605
0.0;119.36045;94.22811;84.293655;77.99004
146.67589;72.21694;46.296883;47.700726;44.10184
136.911;55.361137;41.649666;39.635372;30.718843
146.15689;56.304886;43.809486;38.853924;44.660202
199.08232;77.52167;0.0;55.57066;0.0
0.0;97.36582;77.82917;69.97019;70.00963
128.44777;56.82678;32.681557;42.42533;35.827667
109.00621;47.018642;38.769577;37.91214;38.84744
121.50213;47.939846;33.618397;0.0;36.755623
102.14873;41.166977;33.437935;28.498268;24.274279
122.43849;44.29015;35.3325;37.28526;36.671753
128.05574;55.985725;35.51845;43.214222;38.418774
0.0;106.452965;72.12474;77.4107;77.73385
165.34462;72.58972;47.525143;43.896072;48.143627
163.50357;73.54374;55.00099;47.615482;45.830936
184.86874;76.64567;55.511086;53.02904;54.34844
185.74953;78.58611;58.118984;58.74027;56.03273
224.54741;86.646034;60.945015;64.79571;0.0
188.23805;80.41399;53.020485;57.33617;55.909737
165.19383;63.25761;47.699726;57.394173;48.28335
143.58882;65.78286;49.797157;46.29274;46.017494
150.99577;69.62091;42.20967;46.20878;47.225
224.2911;83.18404;0.0;53.428207;0.0
162.59372;73.27061;54.00502;52.152023;55.2671
209.19226;92.66791;0.0;65.737175;56.77966
154.52412;73.426216;56.372837;55.206017;49.912617
135.39418;67.217674;42.145966;47.89533;43.654728
162.5751;65.59295;47.574852;46.650818;43.9666
152.86081;58.59275;44.677155;43.76601;44.031128
134.38606;61.02295;39.383987;42.992397;41.05484
127.976265;54.701786;36.41973;32.6118;40.8638
0.0;84.25778;56.820324;67.33944;62.17683
101.84846;45.023975;31.21565;30.313652;30.031235
107.98149;47.998604;38.033394;28.912695;34.134964
123.422905;49.911697;37.139126;32.74851;36.90484
125.27132;55.74988;35.035137;44.79867;35.33597
147.86589;61.71999;42.787415;45.00418;37.91603
166.1819;65.17342;48.401726;47.70472;44.048916
218.07703;0.0;62.895855;58.204556;59.704163
197.0387;84.57837;65.22638;0.0;56.800083
181.34761;77.2247;54.413914;53.568897;49.39563
206.6772;82.786804;61.814373;56.610924;0.0
182.47647;85.7605;53.266865;55.529285;54.862873
163.77242;70.81609;46.855007;47.213257;49.490883
0.0;117.68454;78.76304;82.4559;84.165985
135.91736;68.689316;46.568512;49.61808;48.716816
158.64299;68.47696;43.293087;46.14903;51.502018
150.33913;74.55415;52.624405;54.838726;51.724174
169.8547;61.547325;45.612324;53.808174;45.52904
150.3202;62.889038;56.707615;51.140076;46.088394
154.8811;65.810455;43.24908;46.9825;48.23824
157.98462;68.4901;44.346737;52.832737;45.20109
193.75784;81.98538;54.510963;58.500156;0.0
146.52832;59.424583;42.386875;46.39461;39.43651
125.81415;52.81697;37.198612;35.763775;34.203506
118.215294;44.53433;37.324265;34.760548;31.082026
115.36342;50.56805;39.32816;32.003216;31.851011
0.0;73.7763;57.422268;64.50285;60.187084
122.70554;57.479874;44.679245;0.0;40.428562
143.86447;57.45548;37.200577;39.451077;44.752262
144.51276;60.340492;42.528564;44.618626;40.39226
155.13383;65.78652;47.826977;49.704376;49.73234
159.03322;69.41944;58.252136;55.609314;56.6833
203.89859;85.980194;0.0;56.62842;58.575016
207.43643;90.770355;0.0;59.723892;60.322887
194.36745;77.22553;56.08988;47.498566;55.6578
191.30511;88.53892;0.0;52.367386;59.61788
177.79982;62.81834;44.948112;47.3168;49.735783
144.653;65.844315;50.940395;45.634613;49.627052
147.95457;68.3665;43.488655;48.938972;53.840622
147.55142;66.38502;48.782913;47.7642;44.26657
171.744;77.82663;49.60846;56.46203;47.439518
174.38585;77.35843;50.175755;49.66229;52.58813
180.20079;72.68571;48.88677;48.204613;46.154697
0.0;97.271675;77.63562;80.213715;74.15022
