2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
22.58726;102.38627;57.05501;8.974179;12.316464;36.740196;9.803618;4.3158073;6.408091;15.148662;15.917862
25.629642;97.45528;49.735317;8.250563;10.010641;30.2604;9.736532;3.3486228;7.0213113;16.209476;16.188494
21.07166;87.22948;43.29531;6.9710474;10.483086;28.114975;10.368015;3.0358257;5.108532;12.720526;12.9846325
18.838198;86.235115;44.783886;6.563092;9.875335;24.161335;6.824309;3.2030978;4.8327637;12.320875;13.072087
18.26767;90.85938;43.71163;6.8138795;8.826533;27.153576;8.43499;3.0444853;5.3537226;13.037081;12.397914
18.19853;82.214325;47.95803;7.4612494;10.9126425;30.572958;9.190236;3.3165994;6.150097;11.035595;13.291702
22.061518;105.5156;48.49651;8.876196;11.249076;27.12601;9.88937;3.9846196;6.004508;15.834086;17.40646
23.734219;103.59676;55.082306;8.816363;12.141001;29.640055;11.239971;4.033122;7.4951873;15.957034;16.8832
26.579782;118.367935;62.087475;9.038885;16.61615;37.58133;11.701929;4.501581;7.512407;17.201433;18.42802
25.574123;122.86552;76.49785;11.148567;14.504265;38.460426;11.381111;5.457462;8.501647;19.159988;19.252323
29.89354;134.00034;77.284065;9.944829;16.451946;42.77989;12.264111;4.727449;7.9706154;16.753498;21.501318
33.703438;122.95412;67.78237;11.152406;16.551651;41.05327;15.170706;4.9402437;8.26032;17.871338;20.682398
32.49198;116.4751;67.257065;11.114751;15.225899;42.26723;12.833723;4.9908075;7.699187;20.254799;21.308035
28.359539;135.79642;60.535614;11.9476;16.583485;42.944942;12.448652;4.5532537;8.560407;18.105328;20.902752
26.920391;123.72213;68.45828;10.749571;14.194293;41.777378;11.962131;5.218236;8.209642;18.322655;18.868511
28.516184;112.962;64.148384;9.334074;13.069783;33.556458;10.643831;5.074237;6.875818;16.697533;17.008924
21.978104;120.12483;56.574013;9.588945;14.624224;37.429497;11.187468;4.3459425;8.384275;19.583584;18.19801
25.928904;117.43181;65.90606;10.142458;13.237457;36.242134;10.695927;4.1323977;6.7595315;15.958651;17.938595
